context,from,to,weight
DRY-JANUARY-2018,DIANEHENDERIKS,TRUELEMON,2
BRAIN-INJURY-WEEK-2018,HEADWAYDEVON,HEADWAYUK,1
NATIONAL-DYSLEXIA-WEEK-2018,KATEANNASUTTON,UNLTD,2
OCD-AWARENESS-WEEK-2018,ALMOHADA001,LWBEAN,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,GKILTI,ALEXISBORTELL,2
ELF-DAY,COVERAGECARE,ALZHEIMERSSOC,1
BRAIN-AWARENESS-WEEK-2018,ALALWAYZ,BRIANMAYCOM,2
JEANS-FOR-GENES-DAY,MAHNAZHASHMI,JEANSFORGENES,1
DRY-JANUARY-2018,KATSLO4,CHOCTRADINGCO,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,MATTDOCTORWHO74,JAMESMELVILLE,2
DEMENTIA-ACTION-WEEK-2018,CPIERCEUK,BORISJOHNSON,2
DEMENTIA-ACTION-WEEK-2018,JAZANNEARTS,ARTS4DEMENTIA,1
TIME-TO-TALK-DAY-2018,NAVYSALTRICH,THE_UNSILENT_,2
NUTRITION-AND-HYDRATION-WEEK-2018,TILLYBOSS,LM_NICHOLSON,1
16-DAYS-OF-ACTION-2018,SUSAN56319604,ICRW,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,SHALISA_RENEE,AMERICANCANCER,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,DR_TABOR,WOMENSHEALTH,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,GYNCSM,CDC_CANCER,2
RARE-DISEASE-DAY-2018,KJSEER,RVAWONK,2
OCD-AWARENESS-WEEK-2018,ZOOZLEPLUG,LWBEAN,2
16-DAYS-OF-ACTION-2018,NIRWIND,REDCIVICAMX,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,1PROUDCDN,ONTARIONDP,2
STRESS-AWARENESS-DAY,ALIXSMITHSPIDEY,MINDCHARITY,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,BROKENMISTER,MADDOGFUEL,2
WEAR-PURPLE-FOR-JIA-2018,STRESSEDPOTATO,ED_MILIBAND,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,DEAN2386,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,DRPSHUKLA,MANJITGILL,2
EATING-DISORDER-AWARENESS-WEEK-2018,HANNAH_W_VLOGS,BEATED,1
NATIONAL-DYSLEXIA-WEEK-2018,UKDAVESIBLEY,JOANNA_BALL,2
EATING-DISORDER-AWARENESS-WEEK-2018,CARRIEMAISIE,_NICOLESJOURNEY,1
MND-AWARENESS-MONTH-2018,PWEDG,MNDSCOTLAND,1
DRY-JANUARY-2018,ICKLE0NE,CHOCTRADINGCO,2
